location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure
unit,°C,mm,%,km/h,%,hPa
level,2 m elevation corrected,sfc,2 m,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Cloud Cover Total,Basel Mean Sea Level Pressure [MSL]
20240105T0500,5.0502453,0.0,90.67364,19.08,61.0,1005.5
20240105T0600,5.5602455,0.0,88.68788,18.0,59.0,1005.5
20240105T0700,5.8902454,0.0,88.84601,20.16,76.0,1005.5
20240105T0800,5.8902454,0.0,90.68127,19.08,92.0,1005.6
20240105T0900,6.5902452,0.1,90.10664,17.64,99.0,1005.6
20240105T1000,6.900245,0.2,91.337685,17.64,91.0,1005.9
20240105T1100,7.4302454,0.2,91.37885,16.56,98.0,1006.1
20240105T1200,7.900245,0.2,90.344864,14.759999,100.0,1005.2
20240105T1300,8.240246,0.1,88.45523,11.879999,100.0,1005.0
20240105T1400,8.280246,0.2,89.01207,10.799999,99.0,1005.1
20240105T1500,8.090245,0.2,89.67528,9.0,91.0,1004.9
20240105T1600,7.420245,0.1,91.061104,9.36,78.0,1005.1
20240105T1700,7.110245,0.0,92.05645,10.799999,71.0,1005.0
20240105T1800,6.4902453,0.0,94.15688,10.440001,78.0,1005.2
20240105T1900,5.9702454,0.0,95.85516,10.08,84.0,1005.6
20240105T2000,5.650245,0.0,95.63918,7.5599995,71.0,1005.8
20240105T2100,5.860245,0.0,93.72487,7.2,74.0,1005.8
20240105T2200,5.9502454,0.0,93.07531,9.72,83.0,1006.1
20240105T2300,5.790245,0.0,92.28286,10.440001,61.0,1006.0
20240106T0000,5.7402453,0.1,92.14943,12.599999,88.0,1006.2
20240106T0100,5.630245,0.1,91.236595,13.679999,95.0,1007.3
20240106T0200,5.4102454,0.2,90.4483,14.04,99.0,1007.5
20240106T0300,5.210245,0.1,89.91965,12.959999,100.0,1007.8
20240106T0400,5.040245,0.0,89.96792,11.879999,100.0,1008.1
20240106T0500,4.920245,0.0,90.59809,11.879999,100.0,1008.3
20240106T0600,4.8502455,0.0,90.39915,11.879999,98.0,1008.8
20240106T0700,4.5802455,0.0,91.02076,10.08,97.0,1009.5
20240106T0800,4.6602454,0.0,89.933075,9.36,92.0,1010.0
20240106T0900,5.2002454,0.0,89.030235,9.0,91.0,1010.5
20240106T1000,5.5602455,0.0,87.06864,12.599999,97.0,1010.7
20240106T1100,5.980245,0.0,84.561966,14.759999,63.0,1010.7
20240106T1200,6.2602453,0.0,82.23217,15.4800005,54.0,1010.5
20240106T1300,6.2602453,0.2,81.998856,17.64,40.0,1010.1
20240106T1400,6.0702453,0.1,83.44102,18.0,49.0,1010.1
20240106T1500,5.860245,0.0,84.06746,16.199999,73.0,1010.7
20240106T1600,5.4702454,0.2,85.952255,11.879999,87.0,1010.9
20240106T1700,5.210245,0.1,86.227806,10.440001,91.0,1011.3
20240106T1800,5.1602454,0.1,86.59128,11.5199995,92.0,1011.6
20240106T1900,5.1202455,0.1,87.32979,11.5199995,94.0,1011.8
20240106T2000,4.960245,0.2,88.375725,12.24,95.0,1011.9
20240106T2100,4.790245,0.2,89.49821,13.32,97.0,1011.5
20240106T2200,4.730245,0.2,91.68229,13.679999,97.0,1011.8
20240106T2300,4.6002455,0.3,92.325615,16.199999,96.0,1011.7
20240107T0000,4.5702453,0.3,92.586044,20.16,96.0,1011.8
20240107T0100,4.4902453,0.3,93.77111,23.039999,100.0,1012.1
20240107T0200,4.3302455,0.4,94.832115,25.919998,100.0,1012.3
20240107T0300,4.1902456,0.4,95.83943,28.44,99.0,1012.5
20240107T0400,4.0902452,0.4,95.3593,30.239998,100.0,1012.5
20240107T0500,3.8402452,0.4,95.21054,30.239998,100.0,1012.8
20240107T0600,3.6002455,0.4,95.19762,29.88,100.0,1013.2
20240107T0700,3.4702454,0.1,96.14667,26.28,99.0,1013.8
20240107T0800,3.4102454,0.2,96.14385,28.08,99.0,1014.3
20240107T0900,3.5402455,0.2,96.149956,29.88,100.0,1014.6
20240107T1000,4.1002455,0.2,95.76707,33.839996,91.0,1014.9
20240107T1100,4.3702455,0.1,92.90125,35.64,96.0,1014.9
20240107T1200,4.7402453,0.2,88.47911,37.8,83.0,1014.3
20240107T1300,4.730245,0.1,88.03747,39.6,93.0,1014.4
20240107T1400,4.5402455,0.2,88.52173,39.239998,93.0,1014.9
20240107T1500,4.0402455,0.2,88.5971,36.36,90.0,1015.6
20240107T1600,3.4702454,0.2,89.49933,36.0,92.0,1016.2
20240107T1700,2.7902455,0.2,90.27736,35.64,93.0,1017.0
20240107T1800,2.2102454,0.3,90.68294,35.28,97.0,1017.8
20240107T1900,1.7202454,0.2,91.16808,36.36,97.0,1018.5
20240107T2000,1.3402455,0.2,90.53691,37.079998,96.0,1018.8
20240107T2100,0.9502454,0.1,89.11544,35.64,95.0,1019.2
20240107T2200,0.4902454,0.0,88.93581,35.28,97.0,1019.9
20240107T2300,0.080245405,0.0,87.45406,34.2,85.0,1019.9
20240108T0000,-0.35975462,0.0,86.6239,33.48,64.0,1020.0
20240108T0100,-0.72975457,0.0,85.547104,33.48,83.0,1020.4
20240108T0200,-0.9597546,0.0,84.81319,33.12,90.0,1020.8
20240108T0300,-1.1597546,0.0,83.51814,32.399998,93.0,1020.8
20240108T0400,-1.1797546,0.0,81.460526,32.399998,92.0,1021.1
20240108T0500,-1.1897546,0.0,79.14838,33.839996,97.0,1021.3
20240108T0600,-1.1797546,0.0,77.308586,33.48,88.0,1021.8
20240108T0700,-1.1797546,0.0,75.90907,31.68,93.0,1022.0
20240108T0800,-1.0897546,0.0,74.892456,31.319998,81.0,1022.2
20240108T0900,-0.9497546,0.0,74.63593,32.039997,86.0,1022.3
20240108T1000,-0.7197546,0.0,71.5616,36.0,95.0,1022.9
20240108T1100,-0.61975455,0.0,69.63993,36.719997,95.0,1022.6
20240108T1200,-0.3797546,0.0,68.53212,37.079998,92.0,1022.2
20240108T1300,-0.28975457,0.0,67.978546,37.8,96.0,1022.6
20240108T1400,-0.2697546,0.0,68.03541,37.079998,96.0,1022.5
20240108T1500,-0.34975457,0.0,68.22504,35.64,91.0,1022.7
20240108T1600,-0.5697546,0.0,68.80295,31.319998,64.0,1023.0
20240108T1700,-0.76975465,0.0,69.445244,28.08,72.0,1023.5
20240108T1800,-0.9597546,0.0,70.04352,26.64,76.0,1024.0
20240108T1900,-1.0797546,0.0,71.09922,26.28,76.0,1024.2
20240108T2000,-0.98975456,0.0,71.173904,25.919998,63.0,1024.3
20240108T2100,-1.0197546,0.0,71.82452,26.28,63.0,1024.2
20240108T2200,-0.9597546,0.0,73.279915,27.0,79.0,1024.9
20240108T2300,-1.0397546,0.0,73.76836,27.0,77.0,1025.2
20240109T0000,-1.1997546,0.0,73.509674,25.919998,65.0,1025.0
20240109T0100,-1.5697545,0.0,74.224075,24.48,71.0,1025.1
20240109T0200,-1.9097546,0.0,74.72531,21.96,53.0,1025.1
20240109T0300,-2.1097546,0.0,74.62677,20.16,50.0,1025.3
20240109T0400,-2.6397548,0.0,76.38059,18.359999,53.0,1025.2
20240109T0500,-2.7997546,0.0,75.12037,16.919998,50.0,1025.1
20240109T0600,-2.8797545,0.0,73.492256,16.919998,47.0,1025.1
20240109T0700,-2.9797544,0.0,72.33781,18.72,33.0,1025.4
20240109T0800,-2.9897547,0.0,74.041084,16.919998,40.0,1025.5
20240109T0900,-2.8297548,0.0,72.42716,19.08,25.0,1025.7
20240109T1000,-2.7397547,0.0,75.42347,19.8,51.0,1026.7
20240109T1100,-2.4497547,0.0,74.90242,20.16,65.0,1026.5
20240109T1200,-2.1897545,0.0,74.897995,19.8,87.0,1026.2
20240109T1300,-1.9597546,0.0,74.31415,19.08,96.0,1026.0
20240109T1400,-1.8497547,0.0,74.3941,17.64,98.0,1026.2
20240109T1500,-1.9097546,0.0,76.230736,16.56,97.0,1026.3
20240109T1600,-2.7297544,0.0,83.85702,11.879999,98.0,1026.2
20240109T1700,-2.5297546,0.0,82.30205,10.440001,100.0,1026.6
20240109T1800,-2.3197546,0.0,83.40833,9.36,100.0,1026.8
20240109T1900,-2.5497546,0.6,87.33327,11.5199995,100.0,1027.2
20240109T2000,-2.6197548,0.6,88.05649,10.440001,100.0,1027.0
20240109T2100,-2.4497547,0.6,86.03032,10.08,100.0,1026.8
20240109T2200,-2.5597544,0.5,90.97576,10.08,97.0,1027.5
20240109T2300,-2.6297545,0.4,91.31327,9.36,93.0,1027.2
20240110T0000,-2.6497545,0.2,91.79538,9.0,94.0,1027.0
20240110T0100,-2.7097545,0.1,92.067665,8.28,95.0,1026.7
20240110T0200,-2.8797545,0.0,93.24274,8.28,82.0,1026.7
20240110T0300,-2.7497544,0.0,92.34266,9.0,73.0,1026.6
20240110T0400,-2.8797545,0.0,91.6357,9.72,69.0,1026.4
20240110T0500,-3.0297546,0.0,91.13705,10.08,61.0,1026.2
20240110T0600,-3.2197547,0.0,89.81249,10.799999,42.0,1026.3
20240110T0700,-3.3897548,0.0,88.97692,10.799999,9.6,1026.2
20240110T0800,-3.2197547,0.0,87.31645,10.440001,19.5,1026.5
20240110T0900,-2.3397546,0.0,85.65405,11.159999,46.0,1026.6
20240110T1000,-1.3397546,0.0,83.743935,13.32,70.0,1027.9
20240110T1100,-0.4297546,0.0,82.814476,14.4,78.0,1027.8
20240110T1200,0.23024541,0.0,81.32003,14.04,83.0,1027.3
20240110T1300,0.8202454,0.0,81.051346,13.32,86.0,1027.0
20240110T1400,0.9502454,0.0,80.35215,13.32,90.0,1026.8
20240110T1500,0.100245416,0.0,87.13257,11.5199995,35.0,1026.7
20240110T1600,-1.3197546,0.0,86.893906,11.5199995,10.8,1026.6
20240110T1700,-2.1197548,0.0,90.47174,13.32,3.6000001,1026.7
20240110T1800,-2.0697546,0.0,90.81773,14.04,3.3000002,1026.9
20240110T1900,-2.1897545,0.0,91.76784,16.919998,3.3000002,1027.1
20240110T2000,-2.5497546,0.0,91.183044,13.679999,1.2,1027.4
20240110T2100,-2.8097544,0.0,91.711464,14.04,1.8000001,1027.3
20240110T2200,-2.9097548,0.0,91.0796,14.4,14.0,1028.0
20240110T2300,-3.1097546,0.0,90.71539,14.759999,3.0,1028.3
20240111T0000,-3.3197546,0.0,91.10898,15.119999,4.5,1028.1
20240111T0100,-3.3797545,0.0,90.55046,15.119999,6.6000004,1028.2
20240111T0200,-3.519755,0.0,89.16612,14.759999,8.0,1028.1
20240111T0300,-3.5397549,0.0,88.21562,14.4,6.0,1028.3
20240111T0400,-3.4497547,0.0,86.02789,14.04,12.0,1028.0
20240111T0500,-4.0097547,0.0,87.41808,13.32,14.0,1027.8
20240111T0600,-4.1097546,0.0,87.742004,12.959999,14.0,1028.2
20240111T0700,-4.369755,0.0,88.59176,14.4,14.0,1028.3
20240111T0800,-3.8697548,0.0,89.12675,15.119999,12.0,1028.7
20240111T0900,-2.4897547,0.0,85.04981,16.919998,14.0,1029.0
20240111T1000,-3.6697545,0.0,85.14428,16.919998,27.0,1030.1
20240111T1100,-2.1897545,0.0,84.70507,17.64,17.0,1029.9
20240111T1200,-1.4197546,0.0,83.10207,20.16,13.0,1029.3
20240111T1300,-0.8197546,0.0,82.75533,20.880001,11.0,1028.9
20240111T1400,-0.97975457,0.0,83.356255,20.519999,8.0,1028.8
20240111T1500,-2.3597546,0.0,85.45649,18.72,11.0,1028.7
20240111T1600,-2.8797545,0.0,85.77664,18.359999,7.0,1029.4
